Row[2]::Encounter[1]::Total not same -17484
Row[3]::Encounter[2]::Total not same -27222
Row[861]::Encounter[860]::Total not same 80
Row[1107]::Encounter[1106]::Total not same -11
Row[1360]::Encounter[1359]::Total not same -125
Row[1361]::Encounter[1360]::Total not same -27
Row[1513]::Encounter[1512]::Total not same 22
Row[1520]::Encounter[1519]::Total not same 15
Row[1523]::Encounter[1522]::Total not same -26
Row[1525]::Encounter[1524]::Total not same -35
Row[1532]::Encounter[1530]::Total not same 123
Row[1549]::Encounter[1547]::Total not same -20
Row[1551]::Encounter[1549]::Total not same 68
Row[1578]::Encounter[1576]::Total not same 9
Row[1586]::Encounter[1584]::Total not same -51
Row[1640]::Encounter[1638]::Total not same -150
Row[1652]::Encounter[1650]::Total not same -64
Row[1695]::Encounter[1693]::Total not same -68
Row[1716]::Encounter[1713]::Total not same 130
Row[1718]::Encounter[1715]::Total not same -77
Row[1778]::Encounter[1775]::Total not same 42
Row[1859]::Encounter[1856]::Total not same 85
Row[1871]::Encounter[1868]::Total not same 155
Row[1901]::Encounter[1898]::Total not same -30
Row[1916]::Encounter[1913]::Total not same 0
Row[1922]::Encounter[1919]::Total not same -60
Row[1923]::Encounter[1920]::Total not same 13
Row[1933]::Encounter[1930]::Total not same 522
Row[1963]::Encounter[1960]::Total not same 276
Row[1967]::Encounter[1964]::Total not same -114
Row[1974]::Encounter[1971]::Total not same 215
Row[2002]::Encounter[1999]::Total not same -105
Row[2027]::Encounter[2024]::Total not same 75
Row[2066]::Encounter[2063]::Total not same 143
Row[2080]::Encounter[2077]::Total not same -3
Row[2085]::Encounter[2082]::Total not same -2
Row[2087]::Encounter[2084]::Total not same -36
Row[2100]::Encounter[2097]::Total not same -25
Row[2118]::Encounter[2115]::Total not same 129
Row[2148]::Encounter[2145]::Total not same 160
Row[2154]::Encounter[2151]::Total not same 220
Row[2186]::Encounter[2183]::Total not same -50
Row[2197]::Encounter[2194]::Total not same -30
Row[2202]::Encounter[2199]::Total not same 3
Row[2208]::Encounter[2205]::Total not same -47
Row[2231]::Encounter[2228]::Total not same 20
Row[2234]::Encounter[2231]::Total not same -5
Row[2244]::Encounter[2241]::Total not same 190
Row[2256]::Encounter[2253]::Total not same 0
Row[2269]::Encounter[2266]::Total not same 20
Row[2284]::Encounter[2281]::Total not same -26
Row[2292]::Encounter[2289]::Total not same 3
Row[2299]::Encounter[2296]::Total not same -26
Row[2313]::Encounter[2310]::Total not same -51
Row[2357]::Encounter[2354]::Total not same -91
Row[2381]::Encounter[2378]::Total not same -8
Row[2399]::Encounter[2396]::Total not same -146
Row[2417]::Encounter[2414]::Total not same 80
Row[2418]::Encounter[2415]::Total not same 0
Row[2432]::Encounter[2429]::Total not same -27
