Row[149]::Notes Field is null, AddID[324]
Row[227]::Notes Field is null, AddID[402]
Row[229]::Notes Field is null, AddID[404]
Row[264]::CreateBy Field is null, AddID[439]
Row[392]::Notes Field is null, AddID[567]
Row[588]::CreateBy Field is null, AddID[763]
Row[768]::Notes Field is null, AddID[943]
Row[771]::Notes Field is null, AddID[946]
Row[1164]::CreateBy Field is null, AddID[1339]
Row[1196]::CreateBy Field is null, AddID[1371]
Row[1203]::CreateBy Field is null, AddID[1378]
Row[1355]::Notes Field is null, AddID[1534]
Row[1451]::CreateBy Field is null, AddID[1630]
Row[1452]::CreateBy Field is null, AddID[1631]
Row[1475]::Notes Field is null, AddID[1654]
Row[1495]::Notes Field is null, AddID[1674]
Row[1570]::CreateBy Field is null, AddID[1749]
Row[1656]::CreateBy Field is null, AddID[1835]
Row[1785]::Notes Field is null, AddID[1965]
Row[1886]::Notes Field is null, AddID[2066]
Row[2029]::Notes Field is null, AddID[2209]
Row[2089]::Notes Field is null, AddID[2269]
Row[2473]::Notes Field is null, AddID[2654]
Row[2502]::Notes Field is null, AddID[2683]
Row[2645]::Notes Field is null, AddID[2826]
Row[2649]::CreateBy Field is null, AddID[2830]
Row[2660]::Notes Field is null, AddID[2841]
Row[2804]::Notes Field is null, AddID[2985]
Row[3320]::CreateBy Field is null, AddID[3509]
Row[3408]::Notes Field is null, AddID[3597]
Row[3441]::Relation encounter id not found [14331], AddID[3630]
Row[3464]::Notes Field is null, AddID[3653]
Row[3517]::Notes Field is null, AddID[3706]
Row[3713]::CreateBy Field is null, AddID[3902]
Row[3972]::Notes Field is null, AddID[4162]
Row[3988]::Notes Field is null, AddID[4178]
Row[4083]::Notes Field is null, AddID[4273]
Row[4173]::Notes Field is null, AddID[4363]
Row[4298]::Notes Field is null, AddID[4489]
Row[4459]::CreateBy Field is null, AddID[4650]
Row[4482]::Notes Field is null, AddID[4673]
Row[4515]::Notes Field is null, AddID[4706]
Row[4588]::Notes Field is null, AddID[4779]
Row[4621]::Notes Field is null, AddID[4812]
Row[4622]::Notes Field is null, AddID[4813]
Row[4631]::Notes Field is null, AddID[4822]
Row[5097]::Notes Field is null, AddID[5290]
Row[5217]::Notes Field is null, AddID[5410]
Row[5613]::Notes Field is null, AddID[5806]
Row[5677]::Relation encounter id not found [17760], AddID[5870]
Row[6135]::CreateBy Field is null, AddID[6328]
Row[6254]::Notes Field is null, AddID[6447]
Row[6699]::CreateBy Field is null, AddID[6892]
Row[10590]::Relation encounter id not found [22886], AddID[10784]
Row[12748]::Notes Field is null, AddID[12942]
Row[13971]::Notes Field is null, AddID[14165]
Row[14198]::Notes Field is null, AddID[14392]
Row[15811]::Notes Field is null, AddID[16005]
Row[15861]::Notes Field is null, AddID[16055]
Row[15884]::Notes Field is null, AddID[16078]
Row[15916]::Notes Field is null, AddID[16110]
Row[16159]::Notes Field is null, AddID[16353]
Row[22422]::Notes Field is null, AddID[22616]
Row[23437]::Notes Field is null, AddID[23631]
Row[24405]::Notes Field is null, AddID[24599]
Row[24566]::Notes Field is null, AddID[24760]
Row[25202]::Notes Field is null, AddID[25397]
Row[25284]::Notes Field is null, AddID[25479]
Row[26283]::Notes Field is null, AddID[26478]
Row[26549]::Notes Field is null, AddID[26744]
Row[27181]::Notes Field is null, AddID[27376]
Row[27647]::Notes Field is null, AddID[27842]
Row[29075]::Notes Field is null, AddID[29270]
Row[30317]::Notes Field is null, AddID[30512]
Row[30505]::Notes Field is null, AddID[30700]
Row[31536]::Notes Field is null, AddID[31731]
Row[33062]::Notes Field is null, AddID[33257]
Row[33655]::Notes Field is null, AddID[33850]
