ROW [3] patient not founded [1002]
ROW [55] comments or notes not added
ROW [58] comments or notes not added
ROW [106] comments or notes not added
ROW [154] comments or notes not added
ROW [385] patient not founded [1019]
ROW [431] comments or notes not added
ROW [432] comments or notes not added
ROW [460] comments or notes not added
ROW [486] comments or notes not added
ROW [570] comments or notes not added
ROW [576] patient not founded [1026]
ROW [929] comments or notes not added
ROW [987] comments or notes not added
ROW [1055] comments or notes not added
ROW [1089] comments or notes not added
ROW [1543] patient not founded [4047]
ROW [1555] patient not founded [4047]
ROW [1578] comments or notes not added
ROW [1620] patient not founded [4047]
ROW [1837] comments or notes not added
ROW [2532] comments or notes not added
ROW [2561] comments or notes not added
ROW [2655] comments or notes not added
ROW [2695] comments or notes not added
ROW [2783] comments or notes not added
ROW [2926] comments or notes not added
ROW [3070] comments or notes not added
ROW [3506] patient not founded [4047]
ROW [3644] comments or notes not added
ROW [3694] patient not founded [4047]
ROW [3826] comments or notes not added
ROW [4190] comments or notes not added
ROW [4906] comments or notes not added
ROW [4910] comments or notes not added
ROW [4911] comments or notes not added
ROW [4998] comments or notes not added
ROW [5004] comments or notes not added
ROW [5048] comments or notes not added
ROW [5055] comments or notes not added
ROW [5146] comments or notes not added
ROW [5147] comments or notes not added
ROW [5245] comments or notes not added
ROW [5271] comments or notes not added
ROW [5276] comments or notes not added
ROW [5291] comments or notes not added
ROW [5323] comments or notes not added
ROW [5349] comments or notes not added
ROW [5352] comments or notes not added
ROW [5404] comments or notes not added
ROW [5437] comments or notes not added
ROW [5440] comments or notes not added
ROW [5485] comments or notes not added
ROW [5725] comments or notes not added
ROW [5737] comments or notes not added
ROW [5965] comments or notes not added
ROW [6054] comments or notes not added
ROW [6159] comments or notes not added
ROW [6185] comments or notes not added
ROW [6247] comments or notes not added
ROW [6283] comments or notes not added
ROW [6295] comments or notes not added
ROW [6297] comments or notes not added
ROW [6438] comments or notes not added
ROW [6483] comments or notes not added
ROW [6488] comments or notes not added
ROW [6528] comments or notes not added
ROW [6554] comments or notes not added
ROW [6660] comments or notes not added
ROW [6714] comments or notes not added
ROW [6791] comments or notes not added
ROW [6801] comments or notes not added
ROW [6871] comments or notes not added
ROW [6874] patient not founded []
ROW [7153] comments or notes not added
ROW [7229] comments or notes not added
ROW [7233] comments or notes not added
ROW [7256] comments or notes not added
ROW [7293] comments or notes not added
ROW [7304] comments or notes not added
ROW [7404] comments or notes not added
ROW [7454] comments or notes not added
ROW [7481] comments or notes not added
ROW [7583] comments or notes not added
ROW [7602] comments or notes not added
ROW [7795] comments or notes not added
ROW [7837] comments or notes not added
ROW [7887] comments or notes not added
ROW [8057] comments or notes not added
ROW [8249] comments or notes not added
ROW [8302] comments or notes not added
